Update MLP Bottleneck Sigmas:
Latent 1 Update MLP Sigmas:
  Input 1 (Obs_1): 0.001293
  Input 2 (Obs_2): 0.002375
  Input 3 (Obs_3): 0.001268
  Input 4 (Obs_4): 0.004056
  Input 5 (Obs_5): 0.001608
  Input 6 (Obs_6): 0.002175
  Input 7 (Latent_1): 0.002332
  Input 8 (Latent_2): 0.001730
  Input 9 (Latent_3): 0.001806
  Input 10 (Latent_4): 0.002508
  Input 11 (Latent_5): 0.001986
  Input 12 (Latent_6): 0.003188
  Input 13 (Latent_7): 0.001928
  Input 14 (Latent_8): 0.002848

Latent 2 Update MLP Sigmas:
  Input 1 (Obs_1): 0.002492
  Input 2 (Obs_2): 0.001832
  Input 3 (Obs_3): 0.000503
  Input 4 (Obs_4): 0.001073
  Input 5 (Obs_5): 0.001097
  Input 6 (Obs_6): 0.001835
  Input 7 (Latent_1): 0.002649
  Input 8 (Latent_2): 0.002026
  Input 9 (Latent_3): 0.003493
  Input 10 (Latent_4): 0.002119
  Input 11 (Latent_5): 0.002689
  Input 12 (Latent_6): 0.002456
  Input 13 (Latent_7): 0.002965
  Input 14 (Latent_8): 0.001763

Latent 3 Update MLP Sigmas:
  Input 1 (Obs_1): 0.000752
  Input 2 (Obs_2): 0.001323
  Input 3 (Obs_3): 0.000806
  Input 4 (Obs_4): 0.001444
  Input 5 (Obs_5): 0.001433
  Input 6 (Obs_6): 0.002267
  Input 7 (Latent_1): 0.001763
  Input 8 (Latent_2): 0.002453
  Input 9 (Latent_3): 0.002136
  Input 10 (Latent_4): 0.002385
  Input 11 (Latent_5): 0.001812
  Input 12 (Latent_6): 0.001550
  Input 13 (Latent_7): 0.001165
  Input 14 (Latent_8): 0.002304

Latent 4 Update MLP Sigmas:
  Input 1 (Obs_1): 0.000492
  Input 2 (Obs_2): 0.000815
  Input 3 (Obs_3): 0.000486
  Input 4 (Obs_4): 0.000769
  Input 5 (Obs_5): 0.001197
  Input 6 (Obs_6): 0.000633
  Input 7 (Latent_1): 0.001384
  Input 8 (Latent_2): 0.002027
  Input 9 (Latent_3): 0.002099
  Input 10 (Latent_4): 0.001931
  Input 11 (Latent_5): 0.002466
  Input 12 (Latent_6): 0.001061
  Input 13 (Latent_7): 0.001789
  Input 14 (Latent_8): 0.002052

Latent 5 Update MLP Sigmas:
  Input 1 (Obs_1): 0.002977
  Input 2 (Obs_2): 0.003492
  Input 3 (Obs_3): 0.003617
  Input 4 (Obs_4): 0.002043
  Input 5 (Obs_5): 0.005709
  Input 6 (Obs_6): 0.002782
  Input 7 (Latent_1): 0.003448
  Input 8 (Latent_2): 0.003345
  Input 9 (Latent_3): 0.004801
  Input 10 (Latent_4): 0.005067
  Input 11 (Latent_5): 0.003871
  Input 12 (Latent_6): 0.006806
  Input 13 (Latent_7): 0.007099
  Input 14 (Latent_8): 0.003157

Latent 6 Update MLP Sigmas:
  Input 1 (Obs_1): 0.001566
  Input 2 (Obs_2): 0.003430
  Input 3 (Obs_3): 0.002857
  Input 4 (Obs_4): 0.000988
  Input 5 (Obs_5): 0.001941
  Input 6 (Obs_6): 0.001711
  Input 7 (Latent_1): 0.002375
  Input 8 (Latent_2): 0.002151
  Input 9 (Latent_3): 0.002203
  Input 10 (Latent_4): 0.002617
  Input 11 (Latent_5): 0.001750
  Input 12 (Latent_6): 0.002910
  Input 13 (Latent_7): 0.003654
  Input 14 (Latent_8): 0.004351

Latent 7 Update MLP Sigmas:
  Input 1 (Obs_1): 0.001849
  Input 2 (Obs_2): 0.002460
  Input 3 (Obs_3): 0.003146
  Input 4 (Obs_4): 0.002607
  Input 5 (Obs_5): 0.003104
  Input 6 (Obs_6): 0.003272
  Input 7 (Latent_1): 0.002897
  Input 8 (Latent_2): 0.005177
  Input 9 (Latent_3): 0.003574
  Input 10 (Latent_4): 0.004203
  Input 11 (Latent_5): 0.002477
  Input 12 (Latent_6): 0.005233
  Input 13 (Latent_7): 0.003296
  Input 14 (Latent_8): 0.003814

Latent 8 Update MLP Sigmas:
  Input 1 (Obs_1): 0.001756
  Input 2 (Obs_2): 0.002199
  Input 3 (Obs_3): 0.001522
  Input 4 (Obs_4): 0.001118
  Input 5 (Obs_5): 0.001303
  Input 6 (Obs_6): 0.000853
  Input 7 (Latent_1): 0.001799
  Input 8 (Latent_2): 0.001887
  Input 9 (Latent_3): 0.002611
  Input 10 (Latent_4): 0.002786
  Input 11 (Latent_5): 0.001246
  Input 12 (Latent_6): 0.002096
  Input 13 (Latent_7): 0.002647
  Input 14 (Latent_8): 0.002688

