Update MLP Bottleneck Sigmas:
Latent 1 Update MLP Sigmas:
  Input 1 (Obs_1): 0.003919
  Input 2 (Obs_2): 0.003319
  Input 3 (Obs_3): 0.001651
  Input 4 (Obs_4): 0.002058
  Input 5 (Obs_5): 0.002720
  Input 6 (Obs_6): 0.005170
  Input 7 (Latent_1): 0.003629
  Input 8 (Latent_2): 0.002476
  Input 9 (Latent_3): 0.007192
  Input 10 (Latent_4): 0.005933
  Input 11 (Latent_5): 0.005889
  Input 12 (Latent_6): 0.004562
  Input 13 (Latent_7): 0.006390
  Input 14 (Latent_8): 0.003854

Latent 2 Update MLP Sigmas:
  Input 1 (Obs_1): 0.001616
  Input 2 (Obs_2): 0.001948
  Input 3 (Obs_3): 0.001272
  Input 4 (Obs_4): 0.002359
  Input 5 (Obs_5): 0.002155
  Input 6 (Obs_6): 0.001727
  Input 7 (Latent_1): 0.002870
  Input 8 (Latent_2): 0.004096
  Input 9 (Latent_3): 0.003662
  Input 10 (Latent_4): 0.004132
  Input 11 (Latent_5): 0.003203
  Input 12 (Latent_6): 0.003337
  Input 13 (Latent_7): 0.001889
  Input 14 (Latent_8): 0.003913

Latent 3 Update MLP Sigmas:
  Input 1 (Obs_1): 0.002048
  Input 2 (Obs_2): 0.002690
  Input 3 (Obs_3): 0.001609
  Input 4 (Obs_4): 0.004045
  Input 5 (Obs_5): 0.002645
  Input 6 (Obs_6): 0.006253
  Input 7 (Latent_1): 0.006040
  Input 8 (Latent_2): 0.004515
  Input 9 (Latent_3): 0.004018
  Input 10 (Latent_4): 0.004340
  Input 11 (Latent_5): 0.005797
  Input 12 (Latent_6): 0.006628
  Input 13 (Latent_7): 0.004748
  Input 14 (Latent_8): 0.004840

Latent 4 Update MLP Sigmas:
  Input 1 (Obs_1): 0.005594
  Input 2 (Obs_2): 0.005986
  Input 3 (Obs_3): 0.001509
  Input 4 (Obs_4): 0.004329
  Input 5 (Obs_5): 0.004347
  Input 6 (Obs_6): 0.004208
  Input 7 (Latent_1): 0.004579
  Input 8 (Latent_2): 0.004736
  Input 9 (Latent_3): 0.003770
  Input 10 (Latent_4): 0.005499
  Input 11 (Latent_5): 0.004734
  Input 12 (Latent_6): 0.003767
  Input 13 (Latent_7): 0.005843
  Input 14 (Latent_8): 0.006084

Latent 5 Update MLP Sigmas:
  Input 1 (Obs_1): 0.006786
  Input 2 (Obs_2): 0.007543
  Input 3 (Obs_3): 0.007592
  Input 4 (Obs_4): 0.006568
  Input 5 (Obs_5): 0.007125
  Input 6 (Obs_6): 0.005096
  Input 7 (Latent_1): 0.008341
  Input 8 (Latent_2): 0.012666
  Input 9 (Latent_3): 0.008297
  Input 10 (Latent_4): 0.010654
  Input 11 (Latent_5): 0.008277
  Input 12 (Latent_6): 0.010502
  Input 13 (Latent_7): 0.013724
  Input 14 (Latent_8): 0.013767

Latent 6 Update MLP Sigmas:
  Input 1 (Obs_1): 0.006643
  Input 2 (Obs_2): 0.005639
  Input 3 (Obs_3): 0.002409
  Input 4 (Obs_4): 0.005281
  Input 5 (Obs_5): 0.002877
  Input 6 (Obs_6): 0.007814
  Input 7 (Latent_1): 0.003647
  Input 8 (Latent_2): 0.007895
  Input 9 (Latent_3): 0.005055
  Input 10 (Latent_4): 0.003717
  Input 11 (Latent_5): 0.004674
  Input 12 (Latent_6): 0.005753
  Input 13 (Latent_7): 0.005963
  Input 14 (Latent_8): 0.006075

Latent 7 Update MLP Sigmas:
  Input 1 (Obs_1): 0.005581
  Input 2 (Obs_2): 0.012346
  Input 3 (Obs_3): 0.015574
  Input 4 (Obs_4): 0.003635
  Input 5 (Obs_5): 0.009304
  Input 6 (Obs_6): 0.005741
  Input 7 (Latent_1): 0.008180
  Input 8 (Latent_2): 0.005133
  Input 9 (Latent_3): 0.007186
  Input 10 (Latent_4): 0.006876
  Input 11 (Latent_5): 0.005970
  Input 12 (Latent_6): 0.019843
  Input 13 (Latent_7): 0.007097
  Input 14 (Latent_8): 0.008471

Latent 8 Update MLP Sigmas:
  Input 1 (Obs_1): 0.003741
  Input 2 (Obs_2): 0.003203
  Input 3 (Obs_3): 0.005892
  Input 4 (Obs_4): 0.005229
  Input 5 (Obs_5): 0.004302
  Input 6 (Obs_6): 0.003601
  Input 7 (Latent_1): 0.009715
  Input 8 (Latent_2): 0.003087
  Input 9 (Latent_3): 0.005376
  Input 10 (Latent_4): 0.009222
  Input 11 (Latent_5): 0.004421
  Input 12 (Latent_6): 0.008495
  Input 13 (Latent_7): 0.013900
  Input 14 (Latent_8): 0.006787

