2024-10-11 12:39:57,357 INFO    StreamThr :673072 [internal.py:wandb_internal():85] W&B internal server running at pid: 673072, started at: 2024-10-11 12:39:57.357458
2024-10-11 12:39:57,359 DEBUG   HandlerThread:673072 [handler.py:handle_request():158] handle_request: status
2024-10-11 12:39:57,360 INFO    WriterThread:673072 [datastore.py:open_for_write():87] open: /home/rsw0/Desktop/yolanda/temp/CogModRNN/wandb/run-20241011_123957-y4dxoucs/run-y4dxoucs.wandb
2024-10-11 12:39:57,360 DEBUG   SenderThread:673072 [sender.py:send():391] send: header
2024-10-11 12:39:57,377 DEBUG   SenderThread:673072 [sender.py:send():391] send: run
2024-10-11 12:39:57,566 INFO    SenderThread:673072 [dir_watcher.py:__init__():211] watching files in: /home/rsw0/Desktop/yolanda/temp/CogModRNN/wandb/run-20241011_123957-y4dxoucs/files
2024-10-11 12:39:57,566 INFO    SenderThread:673072 [sender.py:_start_run_threads():1200] run started: y4dxoucs with start time 1728664797.357272
2024-10-11 12:39:57,572 DEBUG   HandlerThread:673072 [handler.py:handle_request():158] handle_request: run_start
2024-10-11 12:39:57,577 DEBUG   HandlerThread:673072 [system_info.py:__init__():26] System info init
2024-10-11 12:39:57,577 DEBUG   HandlerThread:673072 [system_info.py:__init__():41] System info init done
2024-10-11 12:39:57,577 INFO    HandlerThread:673072 [system_monitor.py:start():194] Starting system monitor
2024-10-11 12:39:57,578 INFO    SystemMonitor:673072 [system_monitor.py:_start():158] Starting system asset monitoring threads
2024-10-11 12:39:57,578 INFO    HandlerThread:673072 [system_monitor.py:probe():214] Collecting system info
2024-10-11 12:39:57,578 INFO    SystemMonitor:673072 [interfaces.py:start():188] Started cpu monitoring
2024-10-11 12:39:57,578 INFO    SystemMonitor:673072 [interfaces.py:start():188] Started disk monitoring
2024-10-11 12:39:57,578 INFO    SystemMonitor:673072 [interfaces.py:start():188] Started gpu monitoring
2024-10-11 12:39:57,579 INFO    SystemMonitor:673072 [interfaces.py:start():188] Started memory monitoring
2024-10-11 12:39:57,579 INFO    SystemMonitor:673072 [interfaces.py:start():188] Started network monitoring
2024-10-11 12:39:57,586 DEBUG   HandlerThread:673072 [system_info.py:probe():152] Probing system
2024-10-11 12:39:57,591 DEBUG   HandlerThread:673072 [system_info.py:_probe_git():137] Probing git
2024-10-11 12:39:57,601 DEBUG   HandlerThread:673072 [system_info.py:_probe_git():145] Probing git done
2024-10-11 12:39:57,601 DEBUG   HandlerThread:673072 [system_info.py:probe():200] Probing system done
