2024-08-29 23:53:44,257 INFO    StreamThr :1277764 [internal.py:wandb_internal():85] W&B internal server running at pid: 1277764, started at: 2024-08-29 23:53:44.256675
2024-08-29 23:53:44,258 DEBUG   HandlerThread:1277764 [handler.py:handle_request():158] handle_request: status
2024-08-29 23:53:44,258 INFO    WriterThread:1277764 [datastore.py:open_for_write():87] open: /home/rsw0/Desktop/yolanda/temp/CogModRNN/wandb/run-20240829_235344-npz7nfex/run-npz7nfex.wandb
2024-08-29 23:53:44,259 DEBUG   SenderThread:1277764 [sender.py:send():391] send: header
2024-08-29 23:53:44,272 DEBUG   SenderThread:1277764 [sender.py:send():391] send: run
2024-08-29 23:53:44,443 INFO    SenderThread:1277764 [dir_watcher.py:__init__():211] watching files in: /home/rsw0/Desktop/yolanda/temp/CogModRNN/wandb/run-20240829_235344-npz7nfex/files
2024-08-29 23:53:44,443 INFO    SenderThread:1277764 [sender.py:_start_run_threads():1200] run started: npz7nfex with start time 1724990024.256439
2024-08-29 23:53:44,446 DEBUG   HandlerThread:1277764 [handler.py:handle_request():158] handle_request: run_start
2024-08-29 23:53:44,452 DEBUG   HandlerThread:1277764 [system_info.py:__init__():26] System info init
2024-08-29 23:53:44,452 DEBUG   HandlerThread:1277764 [system_info.py:__init__():41] System info init done
2024-08-29 23:53:44,452 INFO    HandlerThread:1277764 [system_monitor.py:start():194] Starting system monitor
2024-08-29 23:53:44,452 INFO    SystemMonitor:1277764 [system_monitor.py:_start():158] Starting system asset monitoring threads
2024-08-29 23:53:44,452 INFO    HandlerThread:1277764 [system_monitor.py:probe():214] Collecting system info
2024-08-29 23:53:44,453 INFO    SystemMonitor:1277764 [interfaces.py:start():188] Started cpu monitoring
2024-08-29 23:53:44,453 INFO    SystemMonitor:1277764 [interfaces.py:start():188] Started disk monitoring
2024-08-29 23:53:44,453 INFO    SystemMonitor:1277764 [interfaces.py:start():188] Started gpu monitoring
2024-08-29 23:53:44,454 INFO    SystemMonitor:1277764 [interfaces.py:start():188] Started memory monitoring
2024-08-29 23:53:44,454 INFO    SystemMonitor:1277764 [interfaces.py:start():188] Started network monitoring
2024-08-29 23:53:44,461 DEBUG   HandlerThread:1277764 [system_info.py:probe():152] Probing system
2024-08-29 23:53:44,467 DEBUG   HandlerThread:1277764 [system_info.py:_probe_git():137] Probing git
2024-08-29 23:53:44,477 DEBUG   HandlerThread:1277764 [system_info.py:_probe_git():145] Probing git done
2024-08-29 23:53:44,477 DEBUG   HandlerThread:1277764 [system_info.py:probe():200] Probing system done
