2024-08-31 16:10:00,428 INFO    StreamThr :1642031 [internal.py:wandb_internal():85] W&B internal server running at pid: 1642031, started at: 2024-08-31 16:10:00.428190
2024-08-31 16:10:00,429 DEBUG   HandlerThread:1642031 [handler.py:handle_request():158] handle_request: status
2024-08-31 16:10:00,430 INFO    WriterThread:1642031 [datastore.py:open_for_write():87] open: /home/rsw0/Desktop/yolanda/temp/CogModRNN/wandb/run-20240831_161000-c02jzjq8/run-c02jzjq8.wandb
2024-08-31 16:10:00,431 DEBUG   SenderThread:1642031 [sender.py:send():391] send: header
2024-08-31 16:10:00,447 DEBUG   SenderThread:1642031 [sender.py:send():391] send: run
2024-08-31 16:10:00,628 INFO    SenderThread:1642031 [dir_watcher.py:__init__():211] watching files in: /home/rsw0/Desktop/yolanda/temp/CogModRNN/wandb/run-20240831_161000-c02jzjq8/files
2024-08-31 16:10:00,628 INFO    SenderThread:1642031 [sender.py:_start_run_threads():1200] run started: c02jzjq8 with start time 1725135000.427925
2024-08-31 16:10:00,634 DEBUG   HandlerThread:1642031 [handler.py:handle_request():158] handle_request: run_start
2024-08-31 16:10:00,640 DEBUG   HandlerThread:1642031 [system_info.py:__init__():26] System info init
2024-08-31 16:10:00,640 DEBUG   HandlerThread:1642031 [system_info.py:__init__():41] System info init done
2024-08-31 16:10:00,640 INFO    HandlerThread:1642031 [system_monitor.py:start():194] Starting system monitor
2024-08-31 16:10:00,641 INFO    SystemMonitor:1642031 [system_monitor.py:_start():158] Starting system asset monitoring threads
2024-08-31 16:10:00,641 INFO    HandlerThread:1642031 [system_monitor.py:probe():214] Collecting system info
2024-08-31 16:10:00,641 INFO    SystemMonitor:1642031 [interfaces.py:start():188] Started cpu monitoring
2024-08-31 16:10:00,641 INFO    SystemMonitor:1642031 [interfaces.py:start():188] Started disk monitoring
2024-08-31 16:10:00,642 INFO    SystemMonitor:1642031 [interfaces.py:start():188] Started gpu monitoring
2024-08-31 16:10:00,642 INFO    SystemMonitor:1642031 [interfaces.py:start():188] Started memory monitoring
2024-08-31 16:10:00,642 INFO    SystemMonitor:1642031 [interfaces.py:start():188] Started network monitoring
2024-08-31 16:10:00,649 DEBUG   HandlerThread:1642031 [system_info.py:probe():152] Probing system
2024-08-31 16:10:00,655 DEBUG   HandlerThread:1642031 [system_info.py:_probe_git():137] Probing git
2024-08-31 16:10:00,665 DEBUG   HandlerThread:1642031 [system_info.py:_probe_git():145] Probing git done
2024-08-31 16:10:00,665 DEBUG   HandlerThread:1642031 [system_info.py:probe():200] Probing system done
