2024-09-01 00:42:11,192 INFO    StreamThr :1732639 [internal.py:wandb_internal():85] W&B internal server running at pid: 1732639, started at: 2024-09-01 00:42:11.192128
2024-09-01 00:42:11,193 DEBUG   HandlerThread:1732639 [handler.py:handle_request():158] handle_request: status
2024-09-01 00:42:11,196 INFO    WriterThread:1732639 [datastore.py:open_for_write():87] open: /home/rsw0/Desktop/yolanda/temp/CogModRNN/wandb/run-20240901_004211-6u742al0/run-6u742al0.wandb
2024-09-01 00:42:11,196 DEBUG   SenderThread:1732639 [sender.py:send():391] send: header
2024-09-01 00:42:11,218 DEBUG   SenderThread:1732639 [sender.py:send():391] send: run
2024-09-01 00:42:11,393 INFO    SenderThread:1732639 [dir_watcher.py:__init__():211] watching files in: /home/rsw0/Desktop/yolanda/temp/CogModRNN/wandb/run-20240901_004211-6u742al0/files
2024-09-01 00:42:11,393 INFO    SenderThread:1732639 [sender.py:_start_run_threads():1200] run started: 6u742al0 with start time 1725165731.192123
2024-09-01 00:42:11,399 DEBUG   HandlerThread:1732639 [handler.py:handle_request():158] handle_request: run_start
2024-09-01 00:42:11,407 DEBUG   HandlerThread:1732639 [system_info.py:__init__():26] System info init
2024-09-01 00:42:11,407 DEBUG   HandlerThread:1732639 [system_info.py:__init__():41] System info init done
2024-09-01 00:42:11,407 INFO    HandlerThread:1732639 [system_monitor.py:start():194] Starting system monitor
2024-09-01 00:42:11,407 INFO    SystemMonitor:1732639 [system_monitor.py:_start():158] Starting system asset monitoring threads
2024-09-01 00:42:11,407 INFO    HandlerThread:1732639 [system_monitor.py:probe():214] Collecting system info
2024-09-01 00:42:11,407 INFO    SystemMonitor:1732639 [interfaces.py:start():188] Started cpu monitoring
2024-09-01 00:42:11,408 INFO    SystemMonitor:1732639 [interfaces.py:start():188] Started disk monitoring
2024-09-01 00:42:11,408 INFO    SystemMonitor:1732639 [interfaces.py:start():188] Started gpu monitoring
2024-09-01 00:42:11,409 INFO    SystemMonitor:1732639 [interfaces.py:start():188] Started memory monitoring
2024-09-01 00:42:11,409 INFO    SystemMonitor:1732639 [interfaces.py:start():188] Started network monitoring
2024-09-01 00:42:11,417 DEBUG   HandlerThread:1732639 [system_info.py:probe():152] Probing system
2024-09-01 00:42:11,424 DEBUG   HandlerThread:1732639 [system_info.py:_probe_git():137] Probing git
2024-09-01 00:42:11,434 DEBUG   HandlerThread:1732639 [system_info.py:_probe_git():145] Probing git done
2024-09-01 00:42:11,434 DEBUG   HandlerThread:1732639 [system_info.py:probe():200] Probing system done
