2024-10-09 23:53:17,472 INFO    StreamThr :588446 [internal.py:wandb_internal():85] W&B internal server running at pid: 588446, started at: 2024-10-09 23:53:17.472018
2024-10-09 23:53:17,473 DEBUG   HandlerThread:588446 [handler.py:handle_request():158] handle_request: status
2024-10-09 23:53:17,475 INFO    WriterThread:588446 [datastore.py:open_for_write():87] open: /home/rsw0/Desktop/yolanda/temp/CogModRNN/wandb/run-20241009_235317-8uw2uo7m/run-8uw2uo7m.wandb
2024-10-09 23:53:17,475 DEBUG   SenderThread:588446 [sender.py:send():391] send: header
2024-10-09 23:53:17,493 DEBUG   SenderThread:588446 [sender.py:send():391] send: run
2024-10-09 23:53:17,653 INFO    SenderThread:588446 [dir_watcher.py:__init__():211] watching files in: /home/rsw0/Desktop/yolanda/temp/CogModRNN/wandb/run-20241009_235317-8uw2uo7m/files
2024-10-09 23:53:17,653 INFO    SenderThread:588446 [sender.py:_start_run_threads():1200] run started: 8uw2uo7m with start time 1728532397.471963
2024-10-09 23:53:17,659 DEBUG   HandlerThread:588446 [handler.py:handle_request():158] handle_request: run_start
2024-10-09 23:53:17,665 DEBUG   HandlerThread:588446 [system_info.py:__init__():26] System info init
2024-10-09 23:53:17,665 DEBUG   HandlerThread:588446 [system_info.py:__init__():41] System info init done
2024-10-09 23:53:17,665 INFO    HandlerThread:588446 [system_monitor.py:start():194] Starting system monitor
2024-10-09 23:53:17,665 INFO    SystemMonitor:588446 [system_monitor.py:_start():158] Starting system asset monitoring threads
2024-10-09 23:53:17,665 INFO    HandlerThread:588446 [system_monitor.py:probe():214] Collecting system info
2024-10-09 23:53:17,665 INFO    SystemMonitor:588446 [interfaces.py:start():188] Started cpu monitoring
2024-10-09 23:53:17,666 INFO    SystemMonitor:588446 [interfaces.py:start():188] Started disk monitoring
2024-10-09 23:53:17,666 INFO    SystemMonitor:588446 [interfaces.py:start():188] Started gpu monitoring
2024-10-09 23:53:17,667 INFO    SystemMonitor:588446 [interfaces.py:start():188] Started memory monitoring
2024-10-09 23:53:17,667 INFO    SystemMonitor:588446 [interfaces.py:start():188] Started network monitoring
2024-10-09 23:53:17,673 DEBUG   HandlerThread:588446 [system_info.py:probe():152] Probing system
2024-10-09 23:53:17,679 DEBUG   HandlerThread:588446 [system_info.py:_probe_git():137] Probing git
2024-10-09 23:53:17,689 DEBUG   HandlerThread:588446 [system_info.py:_probe_git():145] Probing git done
2024-10-09 23:53:17,689 DEBUG   HandlerThread:588446 [system_info.py:probe():200] Probing system done
