Update MLP Bottleneck Sigmas:
Latent 1 Update MLP Sigmas:
  Input 1 (Obs_1): 0.008178
  Input 2 (Obs_2): 0.010940
  Input 3 (Obs_3): 0.009227
  Input 4 (Obs_4): 0.036927
  Input 5 (Obs_5): 0.022130
  Input 6 (Obs_6): 0.041069
  Input 7 (Latent_1): 0.023324
  Input 8 (Latent_2): 0.010076
  Input 9 (Latent_3): 0.021923
  Input 10 (Latent_4): 0.025592
  Input 11 (Latent_5): 0.016460
  Input 12 (Latent_6): 0.009221
  Input 13 (Latent_7): 0.016449
  Input 14 (Latent_8): 0.012147

Latent 2 Update MLP Sigmas:
  Input 1 (Obs_1): 0.002275
  Input 2 (Obs_2): 0.002666
  Input 3 (Obs_3): 0.002626
  Input 4 (Obs_4): 0.007553
  Input 5 (Obs_5): 0.002980
  Input 6 (Obs_6): 0.003185
  Input 7 (Latent_1): 0.006513
  Input 8 (Latent_2): 0.006221
  Input 9 (Latent_3): 0.007596
  Input 10 (Latent_4): 0.009230
  Input 11 (Latent_5): 0.012868
  Input 12 (Latent_6): 0.006954
  Input 13 (Latent_7): 0.007507
  Input 14 (Latent_8): 0.009205

Latent 3 Update MLP Sigmas:
  Input 1 (Obs_1): 0.015433
  Input 2 (Obs_2): 0.010782
  Input 3 (Obs_3): 0.011978
  Input 4 (Obs_4): 0.004956
  Input 5 (Obs_5): 0.004126
  Input 6 (Obs_6): 0.011769
  Input 7 (Latent_1): 0.011121
  Input 8 (Latent_2): 0.013710
  Input 9 (Latent_3): 0.011992
  Input 10 (Latent_4): 0.017953
  Input 11 (Latent_5): 0.011784
  Input 12 (Latent_6): 0.028193
  Input 13 (Latent_7): 0.020347
  Input 14 (Latent_8): 0.011889

Latent 4 Update MLP Sigmas:
  Input 1 (Obs_1): 0.009655
  Input 2 (Obs_2): 0.012844
  Input 3 (Obs_3): 0.002416
  Input 4 (Obs_4): 0.004115
  Input 5 (Obs_5): 0.005346
  Input 6 (Obs_6): 0.004201
  Input 7 (Latent_1): 0.008005
  Input 8 (Latent_2): 0.008406
  Input 9 (Latent_3): 0.011961
  Input 10 (Latent_4): 0.009320
  Input 11 (Latent_5): 0.006153
  Input 12 (Latent_6): 0.008027
  Input 13 (Latent_7): 0.014463
  Input 14 (Latent_8): 0.027891

Latent 5 Update MLP Sigmas:
  Input 1 (Obs_1): 0.008665
  Input 2 (Obs_2): 0.013344
  Input 3 (Obs_3): 0.011011
  Input 4 (Obs_4): 0.015266
  Input 5 (Obs_5): 0.011270
  Input 6 (Obs_6): 0.008077
  Input 7 (Latent_1): 0.017059
  Input 8 (Latent_2): 0.012124
  Input 9 (Latent_3): 0.042903
  Input 10 (Latent_4): 0.016947
  Input 11 (Latent_5): 0.009820
  Input 12 (Latent_6): 0.012584
  Input 13 (Latent_7): 0.014691
  Input 14 (Latent_8): 0.012252

Latent 6 Update MLP Sigmas:
  Input 1 (Obs_1): 0.013028
  Input 2 (Obs_2): 0.010938
  Input 3 (Obs_3): 0.008117
  Input 4 (Obs_4): 0.004778
  Input 5 (Obs_5): 0.008733
  Input 6 (Obs_6): 0.006641
  Input 7 (Latent_1): 0.015124
  Input 8 (Latent_2): 0.012474
  Input 9 (Latent_3): 0.016484
  Input 10 (Latent_4): 0.014177
  Input 11 (Latent_5): 0.006736
  Input 12 (Latent_6): 0.017284
  Input 13 (Latent_7): 0.011277
  Input 14 (Latent_8): 0.006744

Latent 7 Update MLP Sigmas:
  Input 1 (Obs_1): 0.005057
  Input 2 (Obs_2): 0.013449
  Input 3 (Obs_3): 0.005405
  Input 4 (Obs_4): 0.002845
  Input 5 (Obs_5): 0.008402
  Input 6 (Obs_6): 0.003866
  Input 7 (Latent_1): 0.006248
  Input 8 (Latent_2): 0.008133
  Input 9 (Latent_3): 0.009903
  Input 10 (Latent_4): 0.008191
  Input 11 (Latent_5): 0.011791
  Input 12 (Latent_6): 0.013009
  Input 13 (Latent_7): 0.008912
  Input 14 (Latent_8): 0.010972

Latent 8 Update MLP Sigmas:
  Input 1 (Obs_1): 0.006067
  Input 2 (Obs_2): 0.006212
  Input 3 (Obs_3): 0.002293
  Input 4 (Obs_4): 0.003181
  Input 5 (Obs_5): 0.002978
  Input 6 (Obs_6): 0.003475
  Input 7 (Latent_1): 0.003918
  Input 8 (Latent_2): 0.003083
  Input 9 (Latent_3): 0.005669
  Input 10 (Latent_4): 0.007275
  Input 11 (Latent_5): 0.003882
  Input 12 (Latent_6): 0.006613
  Input 13 (Latent_7): 0.007789
  Input 14 (Latent_8): 0.003705

